"Kod";"Nazwa";"ogółem;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2018;[zł]";
1210000;"Powiat nowosądecki";4854;7729;3621;
1211000;"Powiat nowotarski";4711;4919;4125;
1212000;"Powiat olkuski";2893;2500;2895;
1213000;"Powiat oświęcimski";3401;4002;3035;
1214000;"Powiat proszowicki";3499;0;3384;
1215000;"Powiat suski";2781;0;2840;
1216000;"Powiat tarnowski";3104;0;3091;
1217000;"Powiat tatrzański";8327;9079;8012;
1218000;"Powiat wadowicki";3632;4094;3542;
1219000;"Powiat wielicki";4478;4374;5000;
1261000;"Powiat m.Kraków";6511;6504;6540;
1262000;"Powiat m.Nowy Sącz";3709;4288;3433;
1263000;"Powiat m.Tarnów";3431;3974;3151;
1401000;"Powiat białobrzeski";3278;0;3181;
1402000;"Powiat ciechanowski";2998;3098;2703;
1403000;"Powiat garwoliński";3173;0;3173;
1404000;"Powiat gostyniński";2724;3184;2455;
1405000;"Powiat grodziski";4129;4130;4128;
1406000;"Powiat grójecki";4018;4170;3427;
1407000;"Powiat kozienicki";3086;4355;2806;
1408000;"Powiat legionowski";4937;4888;5000;
1409000;"Powiat lipski";2188;0;2188;
1410000;"Powiat łosicki";2622;0;2431;
1411000;"Powiat makowski";2105;0;2105;
1412000;"Powiat miński";4588;4662;4176;
1413000;"Powiat mławski";3149;3292;3000;
1414000;"Powiat nowodworski";4196;4251;3782;
1416000;"Powiat ostrowski";3341;0;3341;
1417000;"Powiat otwocki";5091;4981;5189;
1418000;"Powiat piaseczyński";5761;5404;5808;
1419000;"Powiat płocki";2158;3510;1856;
1420000;"Powiat płoński";2873;3493;2740;
1421000;"Powiat pruszkowski";5471;5502;5307;
1422000;"Powiat przasnyski";2911;3542;2697;
1423000;"Powiat przysuski";2353;0;2353;
1424000;"Powiat pułtuski";3223;3315;2616;
1425000;"Powiat radomski";1903;3275;1879;
1426000;"Powiat siedlecki";2209;0;2209;
1427000;"Powiat sierpecki";3303;3361;2432;
1428000;"Powiat sochaczewski";3518;4733;3478;
1429000;"Powiat sokołowski";3301;3353;2751;
1430000;"Powiat szydłowiecki";2349;0;2334;
1432000;"Powiat warszawski zachodni";5241;5354;4826;
1433000;"Powiat węgrowski";2532;0;2532;
1434000;"Powiat wołomiński";4860;4542;5295;
1435000;"Powiat wyszkowski";4040;4263;3885;
1436000;"Powiat zwoleński";2218;0;2218;
1437000;"Powiat żuromiński";2545;4474;2424;
1438000;"Powiat żyrardowski";3781;4729;3114;
1461000;"Powiat m.Ostrołęka";3025;3405;2905;
1462000;"Powiat m.Płock";3822;4196;3400;
1463000;"Powiat m.Radom";3556;4109;3004;
1464000;"Powiat m.Siedlce";4163;4261;3835;
1465000;"Powiat m. st. Warszawa";8144;7830;8314;
1601000;"Powiat brzeski";2608;3577;2387;
1602000;"Powiat głubczycki";1481;0;1481;
1603000;"Powiat kędzierzyńsko-kozielski";2148;4253;2135;
1604000;"Powiat kluczborski";2496;3243;2273;
1605000;"Powiat krapkowicki";2724;3868;2615;
1606000;"Powiat namysłowski";3279;3550;2547;
1607000;"Powiat nyski";2430;3313;2426;
1608000;"Powiat oleski";2504;0;2504;
1609000;"Powiat opolski";2479;3995;2464;
1610000;"Powiat prudnicki";1562;0;1562;
1611000;"Powiat strzelecki";2435;0;2409;
1661000;"Powiat m.Opole";4579;4581;4571;
1801000;"Powiat bieszczadzki";2065;0;2065;
1802000;"Powiat brzozowski";2564;0;2564;
1803000;"Powiat dębicki";3352;4357;3126;
1804000;"Powiat jarosławski";3212;3586;2732;
1805000;"Powiat jasielski";2500;3425;2439;
1806000;"Powiat kolbuszowski";3983;3986;2787;
1807000;"Powiat krośnieński";2522;3769;1765;
1808000;"Powiat leżajski";1873;0;1873;
1809000;"Powiat lubaczowski";2219;0;2219;
1810000;"Powiat łańcucki";3787;4688;3350;
1811000;"Powiat mielecki";3786;4323;3511;
1812000;"Powiat niżański";2685;0;2685;
1813000;"Powiat przemyski";2769;0;2769;
1814000;"Powiat przeworski";2891;0;2891;
1815000;"Powiat ropczycko-sędziszowski";3518;3768;2933;
1816000;"Powiat rzeszowski";4169;4167;4221;
1817000;"Powiat sanocki";3003;2265;3006;
1818000;"Powiat stalowowolski";3129;4479;3106;
1819000;"Powiat strzyżowski";3241;3241;3161;
1820000;"Powiat tarnobrzeski";2500;3501;2227;
1821000;"Powiat leski";2606;0;2519;
1861000;"Powiat m.Krosno";2859;3974;2849;
1862000;"Powiat m.Przemyśl";2848;4312;2702;
1863000;"Powiat m.Rzeszów";4764;4797;4647;
1864000;"Powiat m.Tarnobrzeg";3130;3832;2657;
2001000;"Powiat augustowski";3675;3763;3521;
2002000;"Powiat białostocki";3880;3995;2730;
2003000;"Powiat bielski";4257;4360;2739;
2004000;"Powiat grajewski";2999;3000;2471;
2005000;"Powiat hajnowski";2117;0;2117;
2006000;"Powiat kolneński";2590;3327;2312;
2007000;"Powiat łomżyński";1692;0;1692;
2008000;"Powiat moniecki";2365;0;2365;
2009000;"Powiat sejneński";2524;0;2524;
2010000;"Powiat siemiatycki";3270;3356;2749;
2011000;"Powiat sokólski";2949;3351;2829;
2012000;"Powiat suwalski";2019;2553;1705;
2013000;"Powiat wysokomazowiecki";4385;4418;2769;
2014000;"Powiat zambrowski";3248;3298;3113;
2061000;"Powiat m.Białystok";4747;4796;4636;
2062000;"Powiat m.Łomża";3688;3736;3435;
2063000;"Powiat m.Suwałki";3762;3811;3533;
2201000;"Powiat bytowski";3045;3273;2726;
2202000;"Powiat chojnicki";3595;3941;3018;
2203000;"Powiat człuchowski";2018;0;1982;
2204000;"Powiat gdański";4733;4695;4919;
2205000;"Powiat kartuski";3738;3725;3876;
2206000;"Powiat kościerski";3846;4089;3188;
2207000;"Powiat kwidzyński";2791;4767;2662;
2208000;"Powiat lęborski";3149;3513;2888;
2209000;"Powiat malborski";3384;3817;2879;
2210000;"Powiat nowodworski";3979;3977;4013;
2211000;"Powiat pucki";4896;4889;4940;
2212000;"Powiat słupski";4304;5403;3445;
2213000;"Powiat starogardzki";3544;4116;3142;
2214000;"Powiat tczewski";3900;4002;3721;
2215000;"Powiat wejherowski";4625;4542;4767;
2216000;"Powiat sztumski";1756;0;1740;
2261000;"Powiat m.Gdańsk";6656;6667;6631;
2262000;"Powiat m.Gdynia";6574;6987;6174;
2263000;"Powiat m.Słupsk";3390;3494;3281;
2264000;"Powiat m.Sopot";11161;16917;10651;
2401000;"Powiat będziński";2588;4167;2509;
2402000;"Powiat bielski";3498;3627;3038;
2403000;"Powiat cieszyński";3365;5854;3232;
2404000;"Powiat częstochowski";1953;0;1953;
2405000;"Powiat gliwicki";2673;4186;2614;
2406000;"Powiat kłobucki";2887;0;2887;
2407000;"Powiat lubliniecki";2758;3378;2604;
2408000;"Powiat mikołowski";2941;4111;2839;
2409000;"Powiat myszkowski";2466;3930;2128;
2410000;"Powiat pszczyński";2643;3430;2532;
2411000;"Powiat raciborski";2132;2243;2127;
2412000;"Powiat rybnicki";2154;0;2150;
2413000;"Powiat tarnogórski";2885;3446;2653;
2414000;"Powiat bieruńsko-lędziński";2977;3060;2932;
2415000;"Powiat wodzisławski";1980;0;1980;
2416000;"Powiat zawierciański";1887;0;1887;
2417000;"Powiat żywiecki";3703;4146;3268;
2461000;"Powiat m.Bielsko-Biała";3969;4303;3830;
2462000;"Powiat m.Bytom";1992;3281;1961;
2463000;"Powiat m.Chorzów";3079;3603;2906;
2464000;"Powiat m.Częstochowa";3509;4808;3354;
2465000;"Powiat m.Dąbrowa Górnicza";2962;4366;2861;
2466000;"Powiat m.Gliwice";3564;4835;3208;
2467000;"Powiat m.Jastrzębie-Zdrój";2254;0;2248;
2468000;"Powiat m.Jaworzno";3162;3239;3130;
2469000;"Powiat m.Katowice";3911;4424;3884;
2470000;"Powiat m.Mysłowice";2847;4004;2734;
2471000;"Powiat m.Piekary Śląskie";2483;3617;2324;
2472000;"Powiat m.Ruda Śląska";2404;2954;2371;
2473000;"Powiat m.Rybnik";2732;3866;2567;
2474000;"Powiat m.Siemianowice Śląskie";2772;3521;2717;
2475000;"Powiat m.Sosnowiec";2663;4288;2616;
2476000;"Powiat m.Świętochłowice";2276;3966;2264;
2477000;"Powiat m.Tychy";4243;4521;3876;
2478000;"Powiat m.Zabrze";2497;3945;2442;
2479000;"Powiat m.Żory";2800;3520;2710;
2601000;"Powiat buski";3049;3150;3049;
2602000;"Powiat jędrzejowski";2521;4217;2513;
2603000;"Powiat kazimierski";2791;0;2791;
2604000;"Powiat kielecki";2443;0;2443;
2605000;"Powiat konecki";2675;3595;2566;
2606000;"Powiat opatowski";3404;3567;1603;
2607000;"Powiat ostrowiecki";2301;0;2301;
2608000;"Powiat pińczowski";2349;0;2347;
2609000;"Powiat sandomierski";2900;0;2900;
2610000;"Powiat skarżyski";2208;2533;2205;
2611000;"Powiat starachowicki";3051;3735;2993;
2612000;"Powiat staszowski";2443;0;2420;
2613000;"Powiat włoszczowski";3093;0;3093;
2661000;"Powiat m.Kielce";4407;4819;3886;
2801000;"Powiat bartoszycki";2299;3857;2022;
2802000;"Powiat braniewski";2098;3269;2070;
2803000;"Powiat działdowski";2973;2995;2525;
2804000;"Powiat elbląski";2407;0;2389;
2805000;"Powiat ełcki";3184;3629;2977;
2806000;"Powiat giżycki";3115;4314;2951;
2807000;"Powiat iławski";3877;4037;3065;
2808000;"Powiat kętrzyński";1867;3445;1757;
2809000;"Powiat lidzbarski";2386;0;2366;
2810000;"Powiat mrągowski";2841;2692;2858;
2811000;"Powiat nidzicki";2702;3149;2374;
2812000;"Powiat nowomiejski";3163;3540;2231;
2813000;"Powiat olecki";3227;3630;2449;
2814000;"Powiat olsztyński";3700;3888;2929;
2815000;"Powiat ostródzki";3200;3771;2705;
2816000;"Powiat piski";2093;2494;2044;
2817000;"Powiat szczycieński";2899;2997;2740;
2818000;"Powiat gołdapski";2630;3084;2077;
2819000;"Powiat węgorzewski";2650;3312;2584;
2861000;"Powiat m.Elbląg";3670;4277;3418;
2862000;"Powiat m.Olsztyn";4720;5085;4555;
3001000;"Powiat chodzieski";2822;3501;2750;
3002000;"Powiat czarnkowsko-trzcianecki";2504;4427;2439;
3003000;"Powiat gnieźnieński";3499;3994;2941;
3004000;"Powiat gostyński";2979;3575;2451;
3005000;"Powiat grodziski";3288;3400;2586;
3006000;"Powiat jarociński";3033;3207;2619;
3007000;"Powiat kaliski";1518;0;1518;
3008000;"Powiat kępiński";3635;3727;2981;
3009000;"Powiat kolski";2621;0;2595;
3010000;"Powiat koniński";2867;3200;2367;
3011000;"Powiat kościański";3537;3635;2143;
3012000;"Powiat krotoszyński";3298;3479;2690;
3013000;"Powiat leszczyński";3065;3258;2804;
3014000;"Powiat międzychodzki";2656;2717;2640;
3015000;"Powiat nowotomyski";2985;3261;2889;
3016000;"Powiat obornicki";3718;3913;3269;
3017000;"Powiat ostrowski";3333;3601;2791;
3018000;"Powiat ostrzeszowski";3673;3739;2976;
3019000;"Powiat pilski";3867;4116;3545;
3020000;"Powiat pleszewski";3213;2999;3246;
3021000;"Powiat poznański";4308;4283;4479;
3022000;"Powiat rawicki";3288;3656;2500;
3023000;"Powiat słupecki";2994;0;2990;
3024000;"Powiat szamotulski";3363;3720;3049;
3025000;"Powiat średzki";3592;3598;2747;
3026000;"Powiat śremski";3533;3602;3018;
3027000;"Powiat turecki";2701;3593;2660;
3028000;"Powiat wągrowiecki";3201;3452;2499;
3029000;"Powiat wolsztyński";3908;4022;2804;
3030000;"Powiat wrzesiński";3483;3489;3368;
3031000;"Powiat złotowski";2570;3500;2364;
3061000;"Powiat m.Kalisz";3259;3527;3013;
3062000;"Powiat m.Konin";3236;3993;3035;
3063000;"Powiat m.Leszno";4074;4705;3707;
3064000;"Powiat m.Poznań";6191;6316;5801;
3201000;"Powiat białogardzki";2110;3604;1994;
3202000;"Powiat choszczeński";2306;3563;2045;
3203000;"Powiat drawski";2313;3403;2273;
3204000;"Powiat goleniowski";3306;4497;3283;
3205000;"Powiat gryficki";2348;3136;2303;
3206000;"Powiat gryfiński";2753;4426;2620;
3207000;"Powiat kamieński";6181;9520;4174;
3208000;"Powiat kołobrzeski";6242;6795;5451;
3209000;"Powiat koszaliński";6098;10464;2408;
3210000;"Powiat myśliborski";2704;3589;2482;
3211000;"Powiat policki";4561;4585;4495;
3212000;"Powiat pyrzycki";2194;0;2194;
3213000;"Powiat sławieński";2992;5491;2707;
3214000;"Powiat stargardzki";3651;3949;3254;
3215000;"Powiat szczecinecki";2430;3614;2250;
3216000;"Powiat świdwiński";2181;4210;2007;
3217000;"Powiat wałecki";2747;4698;2475;
3218000;"Powiat łobeski";1704;0;1697;
3261000;"Powiat m.Koszalin";3922;4630;3909;
3262000;"Powiat m.Szczecin";4893;5079;4603;
3263000;"Powiat m.Świnoujście";6780;6840;6579;
