"Kod";"Nazwa";"ogółem;ogółem;2018;[zł]";"rynek pierwotny;ogółem;2018;[zł]";"rynek wtórny;ogółem;2018;[zł]";
2611000;"Powiat starachowicki";3039;3809;2979;
2612000;"Powiat staszowski";2373;0;2369;
2613000;"Powiat włoszczowski";2638;0;2638;
2661000;"Powiat m.Kielce";4376;4796;4011;
2801000;"Powiat bartoszycki";2274;3794;2060;
2802000;"Powiat braniewski";2182;3075;2129;
2803000;"Powiat działdowski";2716;3065;2465;
2804000;"Powiat elbląski";2399;0;2394;
2805000;"Powiat ełcki";3156;3729;2966;
2806000;"Powiat giżycki";3240;4758;2849;
2807000;"Powiat iławski";4171;4732;2876;
2808000;"Powiat kętrzyński";2019;3536;1910;
2809000;"Powiat lidzbarski";2293;0;2285;
2810000;"Powiat mrągowski";2878;3150;2855;
2811000;"Powiat nidzicki";2539;3081;2259;
2812000;"Powiat nowomiejski";2754;3572;2302;
2813000;"Powiat olecki";2912;3636;2332;
2814000;"Powiat olsztyński";3611;3903;3007;
2815000;"Powiat ostródzki";3030;3814;2702;
2816000;"Powiat piski";1997;2959;1966;
2817000;"Powiat szczycieński";2733;3087;2607;
2818000;"Powiat gołdapski";2417;3019;2096;
2819000;"Powiat węgorzewski";2723;4304;2505;
2861000;"Powiat m.Elbląg";3641;4226;3367;
2862000;"Powiat m.Olsztyn";4692;5097;4519;
3001000;"Powiat chodzieski";2602;3738;2566;
3002000;"Powiat czarnkowsko-trzcianecki";2341;4465;2277;
3003000;"Powiat gnieźnieński";3329;3828;2968;
3004000;"Powiat gostyński";2813;3331;2324;
3005000;"Powiat grodziski";2835;3313;2467;
3006000;"Powiat jarociński";2854;3187;2470;
3007000;"Powiat kaliski";2106;0;2106;
3008000;"Powiat kępiński";3279;3586;2768;
3009000;"Powiat kolski";2663;0;2651;
3010000;"Powiat koniński";2549;3094;2211;
3011000;"Powiat kościański";2848;3694;2132;
3012000;"Powiat krotoszyński";2881;3566;2513;
3013000;"Powiat leszczyński";2897;3185;2699;
3014000;"Powiat międzychodzki";2451;2707;2415;
3015000;"Powiat nowotomyski";2937;3192;2742;
3016000;"Powiat obornicki";3357;3867;2986;
3017000;"Powiat ostrowski";3064;3465;2692;
3018000;"Powiat ostrzeszowski";3414;3762;2722;
3019000;"Powiat pilski";3631;4058;3459;
3020000;"Powiat pleszewski";2937;2913;2939;
3021000;"Powiat poznański";4245;4213;4318;
3022000;"Powiat rawicki";2984;3625;2352;
3023000;"Powiat słupecki";2768;0;2758;
3024000;"Powiat szamotulski";3166;3504;2879;
3025000;"Powiat średzki";3333;3591;2772;
3026000;"Powiat śremski";3286;3604;2945;
3027000;"Powiat turecki";2775;3546;2726;
3028000;"Powiat wągrowiecki";2789;3374;2403;
3029000;"Powiat wolsztyński";3460;4027;2980;
3030000;"Powiat wrzesiński";3427;3490;3284;
3031000;"Powiat złotowski";2495;3436;2249;
3061000;"Powiat m.Kalisz";3180;3575;2994;
3062000;"Powiat m.Konin";3271;4128;3010;
3063000;"Powiat m.Leszno";3863;4573;3532;
3064000;"Powiat m.Poznań";6147;6395;5740;
3201000;"Powiat białogardzki";2083;3579;1878;
3202000;"Powiat choszczeński";2176;3526;1882;
3203000;"Powiat drawski";2195;3057;2172;
3204000;"Powiat goleniowski";3168;4210;3134;
3205000;"Powiat gryficki";2503;5270;2386;
3206000;"Powiat gryfiński";2714;4349;2571;
3207000;"Powiat kamieński";6483;8590;4231;
3208000;"Powiat kołobrzeski";6046;6756;5266;
3209000;"Powiat koszaliński";7631;12752;2688;
3210000;"Powiat myśliborski";2572;3622;2365;
3211000;"Powiat policki";4475;4724;4346;
3212000;"Powiat pyrzycki";2255;0;2255;
3213000;"Powiat sławieński";3438;6369;3026;
3214000;"Powiat stargardzki";3277;3889;3020;
3215000;"Powiat szczecinecki";2477;3548;2278;
3216000;"Powiat świdwiński";2242;4200;2009;
3217000;"Powiat wałecki";2864;4550;2435;
3218000;"Powiat łobeski";1749;0;1741;
3261000;"Powiat m.Koszalin";3873;4569;3864;
3262000;"Powiat m.Szczecin";4840;5245;4440;
3263000;"Powiat m.Świnoujście";6930;7490;6551;
